,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Camere per piano,Stelle,Piani tot,Elenco piani,Posti letto tot,Posti letto per piano,Tipo struttura
412,ALBERGO ACCURSIO,VLE CERTOSA,88,7174,8,27,,3,,,39,,ALBERGO
353,ALBERGO DEL SOLE,VIA SPONTINI GASPARE,6,2141,3,17,0;6;6,1,2,;1;2,40,0;19;19,ALBERGO
104,ALBERGO FELICE CASATI,VIA CASATI FELICE,18,2122,3,99,16;16;16,4,,1;2;3,145,22;22;22,ALBERGO
4,ALBERGO FENICE,CSO BUENOS AIRES,2,2129,3,46,15;11;8,3,4,1;2;3;4,98,24;19;13,ALBERGO
289,ALBERGO IRIDE,VIA PORPORA NICOLA ANTONIO,170,2229,3,11,1;4,2,3,T;1;2,19,2;7,ALBERGO
111,ALBERGO LA PACE,VIA CATALANI ALFREDO,69,2425,3,20,3;4;4;4;4;1,1,6,1;2;3;4;5;6,33,6;0;0;0;0;2,ALBERGO
191,ALBERGO LARIO,VIA LARIO,40,1171,9,7,0,1,,,17,0,ALBERGO
429,ALBERGO LOMBARDIA,VLE LOMBARDIA,74,2400,3,96,,3,,,157,,ALBERGO
339,ALBERGO MARTE,VIA SFORZA ASCANIO,81,5201,5,15,,2,,,25,,ALBERGO
256,ALBERGO PALLADIO,VIA PALLADIO ANDREA,8,4213,5,48,7;2;10;5;11;4,1,7,T;1;2;3;4;5;6,82,11;3;18;10;4,ALBERGO
129,ALBERGO PAVONE,VIA DANDOLO ENRICO,2,3028,1,24,,3,,,50,,ALBERGO
279,ALBERGO POERIO,VIA POERIO CARLO,32,3181,3,13,2;5;5;2,1,4,T;1;2;3,20,4;7;7;2,ALBERGO
153,ALBERGO SEMPIONE,VIA FINOCCHIARO APRILE,11,2120,2,49,13;13;13,3,,1;2;3,101,19;19;19,ALBERGO
80,ALBERGO SICILIA,VIA BENEFATTORI DELL'OSPEDALE,24,1522,9,10,3;4,1,,1;2,19,5;6,ALBERGO
404,ALBERGO SUSA,VLE ARGONNE,14,3254,4,19,6;8;2;4,3,4,2;3;T;1,37,9;8;8;5,ALBERGO
297,AMALFI,VIA QUARNERO,4,6263,7,11,1;5;5,1,3,R;1;2,24,3;8;9,ALBERGO
277,AMBROSIANA,VIA PLINIO CAIO SECONDO,22,2144,3,16,0,1,,,22,0,ALBERGO
276,AMBROSIANA,VIA PLINIO CAIO SECONDO,22,2144,3,14,,1,,,22,,ALBERGO
329,ANDREOLA,VIA SCARLATTI DOMENICO,24,2136,2,78,3;22;21;22;22,4,5,T;1;2;3;4,155,4;34;34;33;33,ALBERGO
20,ANTICA LOCANDA LEONARDO,CSO MAGENTA,78,604,1,16,16,3,1,1,35,35,ALBERGO
110,ANTICA LOCANDA SOLFERINO,VIA CASTELFIDARDO,2,1043,1,11,,2,,,21,,ALBERGO
305,APOLLO,VIA RIPAMONTI GIUSEPPE,102,4066,5,18,0,2,,,40,0,ALBERGO
194,ARNO,VIA LAZZARETTO,17,2112,2,10,9,1,1,4,16,14,ALBERGO
161,ART HOTEL NAVIGLI,VIA FUMAGALLI ANGELO CARLO,4,5149,6,103,24;16;15,4,5,1;2;3;4;5,205,48;31;30,ALBERGO
196,ASCOT,VIA LENTASIO,3,410,1,64,18;18;14;10;3,4,5,1;2;3;4;5,99,24;24;22;17;6,ALBERGO
435,ASTORIA,VLE MURILLO S.B.,9,6551,7,72,,4,,,120,,ALBERGO
210,ASTRID,VIA LULLI GIOVANNI,22,2253,3,11,0;0,2,,;,23,0;0,ALBERGO
441,ATAHOTEL EXECUTIVE,VLE STURZO DON LUIGI,45,1704,9,420,70,4,6,1;2;3;4;5;6,792,140,ALBERGO
189,ATAHOTEL QUARK,VIA LAMPEDUSA,11,5329,5,328,,4,,,736,,ALBERGO
438,ATENA,VLE PIAVE,5,2179,1,12,0,2,,,24,0,ALBERGO
275,AURIGA,VIA PIRELLI GIOVANNI BATTISTA,7,1195,2,52,0,4,,,91,0,ALBERGO
22,BOSCOLO HOTEL EXEDRA,CSO MATTEOTTI GIACOMO,4/6,218,1,154,154,l,,,308,308,ALBERGO
