,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Camere per piano,Stelle,Piani tot,Elenco piani,Posti letto tot,Posti letto per piano,Tipo struttura
21,HOTEL KING,CSO MAGENTA,19,,1,48,8,4,6,1;2;3;4;5;6,96,16;17;15,ALBERGO
332,HOTEL LA RESIDENZA,VIA SCIALOIA VITTORIO,3,1086,9,60,0,3,,,100,0,ALBERGO
317,HOTEL LANCASTER,VIA SANGIORGIO ABBONDIO,16,7138,1,30,0,3,,,65,0,ALBERGO
407,HOTEL LIBERTY,VLE BLIGNY,56,4045,5,58,8;10;4,4,6,1;2;3;4;5;6,106,18;7,ALBERGO
306,HOTEL LIGURIA,VIA RIPAMONTI GIUSEPPE,134,4066,5,28,,2,,,51,,ALBERGO
10,HOTEL LLOYD,CSO DI PORTA ROMANA,48,402,1,56,,4,,,100,,ALBERGO
309,HOTEL LONDON,VIA ROVELLO,3,722,1,29,10;10;9,2,3,1;2;3,49,12;12;9,ALBERGO
208,HOTEL LORIS,VIA LULLI GIOVANNI,11,2253,3,22,,1,,,25,,ALBERGO
269,HOTEL LOSANNA,VIA PIERO DELLA FRANCESCA,39,7188,8,24,7,3,,2,47,10,ALBERGO
75,HOTEL LUGANO,VIA ASTOLFO,6,2566,3,21,5;6;6;6,3,4,R;1;2;3,31,8;9;9;9,ALBERGO
215,HOTEL MAC MAHON,VIA MAC MAHON,45/a,7221,8,24,,2,,,44,,ALBERGO
169,HOTEL MADISON,VIA GASPAROTTO LEOPOLDO,8,1205,2,97,25;28;9;10;0;26,4,,2;1;R;4;;3,150,34;38;25;20;0;33,ALBERGO
304,HOTEL MALTA,VIA RICORDI GIOVANNI,20,2251,3,15,3;4;4;4,1,4,R;1;2;3,24,6;6;6;6,ALBERGO
216,HOTEL MANIN,VIA MANIN DANIELE,7,1052,1,119,16;17;17;17;18;16;18,4,7,1;2;3;4;5;6;7,183,23;26;25;25;26;28;30,ALBERGO
150,HOTEL MARCONI,VIA FILZI FABIO,3,1190,2,67,5;29;10;10;10;4,4,6,T;1;2;3;4;5,98,6;42;15;15;15;4,ALBERGO
180,HOTEL MARLENE,VIA GOLDONI CARLO,84,3183,3,10,10,2,,,17,17,ALBERGO
425,HOTEL MAYOR,VLE ISONZO,2,4211,5,60,0,4,8,,120,0,ALBERGO
397,HOTEL MAZZINI,VIA VITRUVIO,29,2134,3,18,3;6;6;3,3,4,T;1;2;3,30,9;10;10;5,ALBERGO
212,HOTEL MEDIOLANUM,VIA MACCHI MAURO,1,2133,2,52,13;13;13;13,4,4,1;2;3;4,93,25;25;25;23,ALBERGO
370,HOTEL MENNINI,VIA TORRIANI NAPO,14,2126,2,62,8;12;11;11;9;7;7,3,7,1;2;3;4;5;6;7,122,14;20;19;19;18;12;10,ALBERGO
240,HOTEL MENTANA,VIA MORIGI,2,633,1,32,7;7;6;6;6;6,4,6,1;2;3;4;5;6,48,10;10;10;9;9;9,ALBERGO
59,HOTEL MERCURE MILANO CENTRO PORTA VENEZI,PZA OBERDAN GUGLIELMO,12,2108,3,30,0,3,,,57,0,ALBERGO
338,HOTEL MERCURIO,VIA SFORZA ASCANIO,73,5201,5,15,3;12,2,2,R;1,25,6;19,ALBERGO
29,HOTEL METRO,CSO VERCELLI,61,6193,7,40,11;11,3,2,1;2,64,19;19,ALBERGO
331,HOTEL MICHELANGELO,VIA SCARLATTI DOMENICO,33,2136,2,305,10;37;25;25;27;27;14;14;14;14,4,17,1;2;3;4;5;6;7;8;9;0,538,15;68;33;40;48;48;26;26;26;26,ALBERGO
327,HOTEL MIGNON,VIA SARONNO,5,7202,8,15,4;4;4;2,1,4,1;2;3;4,24,6;6;6;2,ALBERGO
137,HOTEL MILANO SCALA,VIA DELL' ORSO,7,123,1,62,62,4,,,115,115,ALBERGO
93,HOTEL MILTON MILANO,VIA BUTTI ENRICO,9,1292,9,110,0,4,,,308,0,ALBERGO
7,HOTEL MINERVA,CSO COLOMBO CRISTOFORO,15,5114,6,39,,3,,,60,,ALBERGO
8,HOTEL MINERVA,CSO COLOMBO CRISTOFORO,15,5114,6,44,0,3,,,67,0,ALBERGO
105,HOTEL MIRAGE,VIA CASELLA GIOVANNI BATTISTA,61,7382,8,86,10;10;10;10;10,4,,1;2;3;4;5,132,16;16;16;16;16,ALBERGO
366,HOTEL MISTRAL,VIA TOFFETTI VINCENZO,4,4188,4,26,9;9;8,3,3,1;2;3,49,18;18;13,ALBERGO
95,HOTEL MOLISE2,VIA CADIBONA,2,3339,4,30,0,3,,,42,0,ALBERGO
395,HOTEL MONDIAL,VIA VITRUVIO,24,2134,3,17,4;4;5,2,3,T;1;2,29,6;8;7,ALBERGO
385,HOTEL MONTECARLO,VIA VALLAZZE,39,2250,3,19,,1,,,32,,ALBERGO
54,HOTEL MOZART,PZA GERUSALEMME,6,7201,8,119,15;15;15;15;16;10,4,,1;2;3;4;5;6,208,26;26;26;26;26;12,ALBERGO
362,HOTEL MYTHOS,VIA TENCA CARLO,21,2118,2,52,0,4,,,79,0,ALBERGO
251,HOTEL NAPOLEON,VIA OZANAM FEDERICO,12,2143,3,40,3;8;7;6,3,6,T;1;2;3;4;5,68,5;13;12;11,ALBERGO
23,HOTEL NASCO,CSO SEMPIONE,69,7137,8,83,,4,,,211,,ALBERGO
356,HOTEL NETTUNO,VIA TADINO ALESSANDRO,27,2109,3,22,3;3;8;8,1,4,T;A;1;2,53,6;6;12;12,ALBERGO
209,HOTEL NEW MILANO,VIA LULLI GIOVANNI,18,2253,3,9,0,1,3,,16,0,ALBERGO
274,HOTEL NEW YORK,VIA PIRELLI GIOVANNI BATTISTA,5,1195,2,69,10;16;16;16;13,3,5,2;3;4;5;6,132,15;29;29;29;16,ALBERGO
380,HOTEL NHOW,VIA TORTONA,35,5124,6,244,0,4,,,484,0,ALBERGO
27,HOTEL NICOSIA,CSO VERCELLI,1,6193,7,7,,1,,,15,,ALBERGO
290,HOTEL NIZZA,VIA PORPORA NICOLA ANTONIO,18,2229,3,11,3;4;4,2,3,R;1;2,23,4;7;6,ALBERGO
42,HOTEL NUOVO,PZA BECCARIA CESARE,6,306,1,15,7;20;10,1,,1;2;3,33,14;37;13,ALBERGO
321,HOTEL NUOVO BISCIONE,VIA SANTA MARIA FULCORINA,15,630,1,25,7;7;7;4,3,4,1;2;3;4,34,10;10;10;4,ALBERGO
225,HOTEL NUOVO MARGHERA,VIA MARGHERA,2,6280,7,50,16;6;12,3,4,1;3;2,76,29;12;22,ALBERGO
431,HOTEL NUOVO METRO,VLE MONZA,120,2274,2,15,0,3,,,25,0,ALBERGO
252,HOTEL PAGANINI,VIA PAGANINI NICCOLO',6,2238,3,8,,1,,,23,,ALBERGO
259,HOTEL PANIZZA,VIA PANIZZA BARTOLOMEO,5,6208,7,16,0,3,,,32,0,ALBERGO
270,HOTEL PARMA,VIA PIERO DELLA FRANCESCA,48,7188,8,25,5;8;8;4,2,4,R;1;2;3,40,6;22;22;4,ALBERGO
264,HOTEL PERUGINO,VIA PERUGINO,12,3198,4,32,5;6;6;6,3,4,1;2;3;4,54,7;7;10;10,ALBERGO
266,HOTEL PIACENZA,VIA PIACENZA,4,4064,5,24,3;21,3,2,R;1,34,4;30,ALBERGO
265,HOTEL PIOLA,VIA PESTALOZZA ALESSANDRO,28,2248,3,13,2;4;4;3,2,4,T;1;2;3,25,3;8;8;6,ALBERGO
281,HOTEL POLIZIANO FIERA,VIA POLIZIANO,11,7196,8,100,16;16;16;16;11;11;7;7,4,8,1;2;3;4;5;6;7;8,204,32;32;32;32;22;22;16;16,ALBERGO
108,HOTEL PORTA VENEZIA,VIA CASTALDI PANFILO,26,2119,3,12,,1,,,20,,ALBERGO
48,HOTEL PRINCIPE DI SAVOIA,PZA DELLA REPUBBLICA,17,1055,2,313,48;50;41;41;41;43;10;10;10,I,,1;2;3;4;5;6;7;8;9,623,76;81;71;71;85;70;18;18;18,ALBERGO
67,HOTEL PRINCIPE EUGENIO,VIA AOSTA,2,7227,8,15,,1,,,24,,ALBERGO
246,HOTEL RAFAEL,VIA OLGETTINA,60,2530,3,216,216,3,,,439,439,ALBERGO
409,HOTEL RAFFAELLO,VLE CERTOSA,108,7174,8,126,35;34;24;21,4,5,1;2;3;4;5,223,55;54;43;38;29,ALBERGO
220,HOTEL RALLYE,VIA MARCELLO BENEDETTO,59,2128,3,16,1;6;6;5,2,4,T;1;2;3,25,2;9;9;5,ALBERGO
72,HOTEL REGENCY,VIA ARIMONDI GIUSEPPE,12,7179,8,71,12;12;11;12;12,4,,4;5;3;1;2,125,18;18;18;18;18,ALBERGO
124,HOTEL REGINA,VIA CORRENTI CESARE,13,555,1,43,,4,,,59,,ALBERGO
222,HOTEL REX,VIA MARCO D'AGRATE,35,4276,5,52,4;8;8;8;8;8;8,3,7,R;1;2;3;4;5;6,104,8;16;16;16;16;16;16,ALBERGO
13,HOTEL RITTER,CSO GARIBALDI GIUSEPPE,68,1010,1,89,,3,7,,172,,ALBERGO
11,HOTEL ROMANA RESIDENCE,CSO DI PORTA ROMANA,64,402,1,72,,4,6,,147,,ALBERGO
78,HOTEL ROSSOVINO,VIA BARTOLOZZI FRANCESCO,9,3267,4,7,7,1,,,12,12,ALBERGO
310,HOTEL RUBENS,VIA RUBENS PIETRO,21,6597,7,87,19;11,4,5,1;2;3;4;5,150,29;25,ALBERGO
393,HOTEL SALERNO,VIA VITRUVIO,18,2134,3,19,8,2,,,39,16,ALBERGO
307,HOTEL SALUS,VIA ROSSI PELLEGRINO,59,1510,9,21,0,1,,,36,0,ALBERGO
145,HOTEL SAN GUIDO,VIA FARINI CARLO,1/a,,8,31,7;8;8;8,3,4,1;2;3;4,47,11;12;12;12,ALBERGO
267,HOTEL SAN MARCO,VIA PICCINNI NICOLA,25,2236,3,11,11,1,1,,24,24,ALBERGO
245,HOTEL SAN SIRO FIERA,VIA NOVARA,371,6624,7,18,0,2,,,33,0,ALBERGO
445,HOTEL SAN TOMASO,VLE TUNISIA,6,2121,3,12,0,1,1,,25,0,ALBERGO
255,HOTEL SANPI,VIA PALAZZI LAZZARO,18,2171,3,79,3;15;15;15;11;4;0,4,6,T;1;2;3;4;5;,160,6;26;26;26;25;10;0,ALBERGO
436,HOTEL SANT AMBREUS,VLE PAPINIANO,14,5097,1,52,13;13;13;13,3,4,1;2;3;4,84,21;21;21;21,ALBERGO
149,HOTEL SCALA NORD,VIA FERRUCCI FRANCESCO,10,7150,8,71,11;12;12;12;12;8;8;7,3,8,R;1;2;3;4;5;6;7,95,16;17;17;17;17;10;10;10,ALBERGO
86,HOTEL SERENA,VIA BOSCOVICH RUGGERO,59,2131,3,51,51,3,,,108,108,ALBERGO
437,HOTEL SHERATON DIANA MAJESTIC,VLE PIAVE,42,2179,3,105,,4,,,205,,ALBERGO
107,HOTEL SIENA,VIA CASTALDI PANFILO,17,2119,3,15,15,2,1,1,25,25,ALBERGO
205,HOTEL SILVER,VIA LOMBARDI RICCARDO,11,6893,7,75,0,4,,,150,0,ALBERGO
228,HOTEL SIR EDWARD,VIA MAZZINI GIUSEPPE,4,516,1,38,,4,,,70,,ALBERGO
389,HOTEL SIRO,VIA VENINI GIULIO E CORRADO,59,2258,2,10,10,1,1,1,21,15,ALBERGO
346,HOTEL SOPERGA,VIA SOPERGA,24,2262,2,78,0,3,,,134,0,ALBERGO
132,HOTEL STAR,VIA DEI BOSSI,5,115,1,30,9;9;7;5,3,4,1;2;3;4,48,14;14;13;7,ALBERGO
273,HOTEL STAZIONE,VIA PIRELLI GIOVANNI BATTISTA,5,1195,2,10,0,2,,,23,0,ALBERGO
349,HOTEL TECO,VIA SPALLANZANI LAZZARO,27,2153,3,28,,3,,,80,,ALBERGO
284,HOTEL TERMINAL,VIA PONTE SEVESO,38,1203,2,47,0,3,,,95,0,ALBERGO
221,HOTEL THE BEST,VIA MARCELLO BENEDETTO,83,2128,3,28,3;8;8,2,3,T;1;2,56,6;10;9,ALBERGO
39,HOTEL TIRRENO,PZA ASPROMONTE,18,2246,3,10,,1,,,16,,ALBERGO
177,HOTEL TOWN HOUSE 31,VIA GOLDONI CARLO,31,3183,6,18,0,4,,,32,0,ALBERGO
203,HOTEL TRENTINA,VIA LIPPI FILIPPINO,50,2196,3,10,2;3,2,3,T;1;2,20,4;2,ALBERGO
223,HOTEL TRIESTE,VIA MARCO POLO,13,1103,9,27,0,2,,,62,0,ALBERGO
38,HOTEL TRIPOLI,PLE TRIPOLI,3,6130,6,10,,1,,,20,,ALBERGO
387,HOTEL VALGANNA,VIA VARE' GIOVANNI BATTISTA,32,1245,9,36,,3,,,72,,ALBERGO
345,HOTEL VALLEY,VIA SOPERGA,19,2262,2,11,0,1,,,22,0,ALBERGO
187,HOTEL VENEZIA,VIA JOMMELLI NICCOLO',49,2426,3,10,,1,,,17,,ALBERGO
361,HOTEL VERONA,VIA TENCA CARLO,12,2118,2,19,,1,,,25,,ALBERGO
74,HOTEL VIENNA,VIA ASTOLFO,5,2566,3,23,4;5,3,5,1;2;3;4;5,35,5;4,ALBERGO
211,HOTEL VIOLA,VIA LULLI GIOVANNI,4,2253,3,9,,1,,,14,,ALBERGO
268,HOTEL VIRGILIO,VIA PIERLUIGI GIOVANNI DA PALESTRINA,30,,2,45,20;19;6,2,3,5;6;7,63,32;25;6,ALBERGO
96,HOTEL VITTORIA,VIA CALVI PIETRO,32,3083,4,40,0,4,,,58,0,ALBERGO
92,HOTEL WAGNER,VIA BUONARROTI MICHELANGELO,13,6253,7,49,5;10;9;5;5;5;5;5,4,8,1;2;3;4;5;6;7;8,93,9;20;19;9;9;9;9;9,ALBERGO
164,HOTEL WINDSOR,VIA GALILEI GALILEO,2,1102,2,103,18;18;18;18;18;27;17,4,,1;2;3;4;5;8;7,196,27;27;27;27;27;18;27,ALBERGO
16,HOTEL ZURIGIO,CSO ITALIA,11/a,,1,39,8;16;17,3,3,T;1;2,70,14;24;21,ALBERGO
286,HOTELA ALBA,VIA PORPORA NICOLA ANTONIO,132,2229,3,7,7,1,,,12,12,ALBERGO
135,IDEA HOTEL MILANO BICOCCA,VIA DELLA GIUSTIZIA,10,1410,2,145,0,4,,,290,0,ALBERGO
121,IDEA HOTEL MILANO CORSO GENOVA,VIA CONCA DEL NAVIGLIO,20,5180,1,105,0,3,,,199,0,ALBERGO
63,IDEA HOTEL MILANO SAN SIRO,VIA AIRAGHI GAETANO,125,6330,7,234,0,4,,,432,0,ALBERGO
402,IDEA HOTEL MILANO WATTTREDICI,VIA WATT GIACOMO,13,5292,6,87,87,4,,,169,169,ALBERGO
335,IL LEONARDO DA VINCI,VIA SENIGALLIA,6,1708,9,423,,4,,,922,,RESIDENCE
202,ISCHIA,VIA LIPPI FILIPPINO,43,2196,3,7,2;3;2,1,3,1;2;3,12,4;5;3,ALBERGO
178,JOLIE,VIA GOLDONI CARLO,31,3183,6,18,3;6;6;3,1,4,T;1;2;3,28,4;9;9;6,ALBERGO
32,JOLLY HOTEL PRESIDENT,LGO AUGUSTO,10,315,1,242,19;36;30;34;33;27;26,4,8,1;2;3;4;5;6;7;8,530,38;70;59;69;67;55;49,ALBERGO
357,JOLLY TOURING,VIA TARCHETTI IGINIO UGO,2,1060,1,282,0,4,,,577,0,ALBERGO
182,LA CARAVELLA,VIA HAJECH CAMILLO,18,3091,4,11,0,2,,,16,0,
390,LA DARSENA,VIA VIGEVANO,13,5116,6,75,75,3,4,,204,204,RESIDENCE
186,LE QUERCIE,VIA JACOPO DELLA QUERCIA,6,6541,7,14,3;3;3;1,2,4,R;1;2;M,24,4;5;4;3,ALBERGO
55,LEONARDO DA VINCI,PZA LEONARDO DA VINCI,10,2208,3,13,0,1,,,20,0,ALBERGO
334,LEONARDO DA VINCI,VIA SENIGALLIA,6,1708,9,298,40;0;40;40;40;63;56;56;28,4,8,1;;2;3;4;5;6;7;8,864,118;0;118;118;118;130;130;130;64,ALBERGO
272,LOCANDA GELSOMINA,VIA PIERO DELLA FRANCESCA,4/7,,8,10,0,2,1,,25,0,ALBERGO
76,LORETO,VIA BAMBAIA,4,2278,2,14,9;6,2,,1;2,25,16;8,ALBERGO
430,MAISON MOSCHINO,VLE MONTE GRAPPA,12,1101,9,65,65,4,,,135,135,ALBERGO
263,MAJORCA,VIA PELLIZZONE ANDREA,12,3314,3,34,4;6;12;6;6,3,5,T;1;2;3;4,53,9;10;18;10;6,ALBERGO
401,MARRIOT HOTEL,VIA WASHINGTON GIORGIO,66,6111,7,323,52;52;52;52;52;52;11,4,7,1;2;3;4;5;6;7,646,104;104;104;104;104;104;22,ALBERGO
296,MARY HOTEL FIERA,VIA PRINCIPE EUGENIO,45,7223,8,10,,2,,,25,,ALBERGO
364,MEC HOTEL,VIA TITO LIVIO,4,4086,4,40,0,3,,,71,0,ALBERGO
226,MELIA  MILANO,VIA MASACCIO,19,6420,8,288,0,5,,,487,0,ALBERGO
192,MERANO,VIA LAZZARETTO,10,2112,3,11,11,1,1,1,25,25,ALBERGO
133,MIHOTEL,VIA DEI FONTANILI,26,4224,5,57,57,4,,,75,75,ALBERGO
50,MINI HOTEL AOSTA,PZA DUCA D'AOSTA,16,1200,2,63,9,3,7,1;2;3;4;5;6;7,110,15;16,ALBERGO
351,MINI HOTEL LA SPEZIA,VIA SPEZIA,25,5268,5,76,0,4,,,128,0,ALBERGO
341,MINI HOTEL PORTELLO,VIA SILVA GUGLIELMO,12,6400,8,96,0;12,4,4,1;2;3;4,202,0;23;12,ALBERGO
365,MINI HOTEL TIZIANO,VIA TIZIANO VECELLIO,6,6380,8,54,18;18;18,4,3,1;2;3,84,34;25;25,ALBERGO
200,MIRAGE TRE,VIA LEPONTINA,8,1147,9,60,25;20;15,3,3,1;2;3,82,36;31;15,RESIDENCE
238,MONTEBIANCO,VIA MONTE ROSA,90,6388,8,44,10;17,4,3,T;1;2,79,16;25,ALBERGO
434,MURILLO,VLE MURILLO S.B.,22,6551,7,25,9;10;6,2,3,T;1;2,46,17;17;10,ALBERGO
381,MY HOTEL MILANO,VIA TRIESTE,15,6261,7,10,10,2,,,12,12,ALBERGO
195,NH MACHIAVELLI,VIA LAZZARETTO,5,2112,2,103,0,4,,,203,0,ALBERGO
230,NOVOTEL MILANO LINATE AEROPORTO,VIA MECENATE,121,3323,4,208,,4,,,416,,ALBERGO
442,NOVOTEL MILANO NORD,VLE SUZZANI GIOVANNI,13,1446,9,172,30;11,4,7,1;2;3;4;5;6;7,344,60;22,ALBERGO
151,NUOVO MONOPOLE,VIA FILZI FABIO,43,1190,2,71,7;13;13;13;13;13;11,3,,1;2;3;4;5;6;7,125,11;17;17;17;17;17;16,ALBERGO
19,PALAZZO DELLE STELLINE,CSO MAGENTA,61,604,1,105,,3,,,167,,ALBERGO
288,PAOLA,VIA PORPORA NICOLA ANTONIO,16,2229,3,10,3;4,1,3,R;1;2,24,4;7,ALBERGO
181,PARK HYATT MILANO,VIA GROSSI TOMMASO,1,105,1,106,0,5,,,212,0,ALBERGO
98,PENSIONE ARIS,VIA CANONICA LUIGI,79,7121,8,12,12,1,1,1,17,17,ALBERGO
413,PENSIONE CAPRI,VLE DEI MILLE,24,3115,3,11,3;4;4,1,3,T;1;2,20,5;8;4,ALBERGO
303,PENSIONE CUBA,VIA RICORDI GIOVANNI,14,2251,3,9,,1,,,14,,ALBERGO
193,PENSIONE EVA,VIA LAZZARETTO,17,2112,2,9,,1,2,,20,,ALBERGO
224,PENSIONE FIORELLA,VIA MARGHERA,14,6280,7,20,20,2,1,1,35,35,ALBERGO
69,PENSIONE LANTERNA,VIA ARCHIMEDE,121,3086,4,7,1;3;3,1,3,T;1;2,16,2;7;7,ALBERGO
291,PENSIONE ORIENTE,VIA PORPORA NICOLA ANTONIO,52,2229,3,10,3;3;2,1,3,T;1;2,19,6;6;3,ALBERGO
236,PETIT PALAIS,VIA MOLINO DELLE ARMI,1,591,1,17,0,4,,,23,0,RESIDENCE
188,PIAN DELLA NAVE,VIA LAMBRATE,9,2421,3,67,3;2;8;9;9;9;7;6;10;4,3,9,T;R;1;2;3;4;5;6;7;8,200,8;6;24;27;27;27;21;18;30;12,RESIDENCE
271,PICCOLO HOTEL,VIA PIERO DELLA FRANCESCA,60,7188,8,31,0,3,,,53,0,ALBERGO
190,QUARK DUE,VIA LAMPEDUSA,11/a,,5,106,17;4,4,7,1;2;3;4;5;6;7,229,36;13,RESIDENCE
382,R.T.A. ATAHOTEL DE ANGELI,VIA TRIVULZIO ANTONIO TOLOMEO,8,6277,7,68,0,4,,,192,0,ALBERGO
118,R.T.A. COLA MONTANO,VIA COLA MONTANO,29,1139,9,21,0,2,,,21,0,RESIDENCE
213,R.T.A. LE GARE,VIA MACCHI MAURO,49,2133,2,22,2;4;4;4;4;4,4,6,T;1;2;3;4;5,67,7;12;12;12;12;12,ALBERGO
391,RADISSON BLU HOTEL MILAN,VIA VILLAPIZZONE,24,7272,8,250,259,4,,,500,518,ALBERGO
1,RADISSON BLU HOTEL MILAN,CODVIA 0000,24,,,259,259,4,,,518,518,ALBERGO
354,RAMADA PLAZA MILANO,VIA STAMIRA D'ANCONA,27,2337,2,167,167,4,,,334,334,ALBERGO
64,RESIDENCE 2GI,VIA AJRAGHI CESARE,30,7276,8,17,0,2,,,22,0,RESIDENCE
433,RESIDENCE ATAHOTEL LINEA UNO,VLE MONZA,139,2274,2,89,9;9;9;9;9;9;3,4,,1;2;3;4;5;6;7,254,20;20;20;20;20;20;6,ALBERGO
131,RESIDENCE ATAHOTEL THE BIG,VIA DE CRISTOFORIS CARLO,6,1120,9,125,7;19;76;8,4,,1;2;3;4;5;6;7;8;9;0,245,16;36,ALBERGO
254,RESIDENCE BIANCA CROCE,VIA PALADINI ETTORE,7,3236,3,63,8;7;4,3,9,R;1;2;3;4;5;6;7;8,115,14;13;5,RESIDENCE
342,RESIDENCE BOCCONI,VIA SIRACUSA,5/7,4032,1,48,6;6;6;4,4,4,T;1;2;3,97,15;31;31;17,RESIDENCE
81,RESIDENCE BONNET,VIA BONNET NINO,6/b,1109,9,19,2;4;4;4;2,2,5,1;2;5;6;7,45,10;30;30;30;5,RESIDENCE
82,RESIDENCE BORGONUOVO,VIA BORGONUOVO,1,139,1,16,4;4;4;3,4,4,1;2;3;4,32,7;7;7;8,RESIDENCE
113,RESIDENCE CERVA,VIA CERVA,16,314,1,7,,3,,,7,,RESIDENCE
116,RESIDENCE CIMAROSA,VIA CIMAROSA DOMENICO,19,6291,7,23,,3,,,27,,RESIDENCE
120,RESIDENCE COLONNA,VIA COLONNA VITTORIA,48,6284,7,13,1;6;6,3,3,R;2;3,26,2;12;12,RESIDENCE
139,RESIDENCE DESENZANO,VIA DESENZANO,12,6610,7,60,12;9;6,3,6,R;1;2;3;4;S,115,20;24;23;12,RESIDENCE
15,RESIDENCE DI CORSO ITALIA,CSO ITALIA,34,526,1,41,,4,,,81,,RESIDENCE
143,RESIDENCE DONATELLO,VIA DONATELLO,10/12,2214,3,10,4;6,4,2,T;1,20,12;16,RESIDENCE
239,RESIDENCE FUTURA,VIA MONTESSORI MARIA,14,3361,4,56,10;9;9;9;9;9,4,6,1;2;3;4;5;6,133,24;22;22;21;21;20,RESIDENCE
172,RESIDENCE GIAMBELLINO DI LAURA FIAMBERTI,VIA GIAMBELLINO,9,5136,6,9,9,2,,,18,18,RESIDENCE
235,RESIDENCE INTERNATIONAL,VIA MODENA GUSTAVO,4,3122,3,37,1;7;7;7;7;4;4,4,7,T;1;2;3;4;5;6,59,1;11;11;11;11;7;7,RESIDENCE
243,RESIDENCE L M5,VIA MURATORI LODOVICO,5,4076,4,24,7;7;7;3,3,4,1;2;3;4,48,14;14;14;6,RESIDENCE
43,RESIDENCE LE CORTI,PZA BUONARROTI MICHELANGELO,31,6252,7,23,,2,,,24,,RESIDENCE
298,RESIDENCE LORETO,VIA RANCATI ILARIONE,3,2321,2,45,9;9;9;9;9,3,5,1;2;3;4;5,80,16;16;16;16;16,RESIDENCE
65,RESIDENCE MISSORI,VIA ALBRICCI ALBERICO,4,337,1,73,11;11;12;11;6;6;5;7;4,4,9,3;4;5;6;7;8;2;9;0,158,24;24;24;22;14;16;12;14;8,RESIDENCE
160,RESIDENCE OSOPPO,VIA FRASSINETTI ROMEO,2,6563,7,25,0,4,,,77,0,RESIDENCE
280,RESIDENCE POLA,VIA POLA,4,1156,2,39,,4,,,52,,RESIDENCE
171,RESIDENCE PORTELLO,VIA GHIBERTI LORENZO,1,6542,7,16,,3,,,32,,RESIDENCE
340,RESIDENCE SIGIERI,VIA SIGIERI GOFFREDO,3,4080,4,19,,3,,,24,,RESIDENCE
114,RESIDENCE SILOE,VIA CESARI ANTONIO,19,1603,9,89,18;16;13;3,4,,1;2;3;4;5;6;7,199,37;27;29;9,RESIDENCE
260,RESIDENCE VIP S,VIA PANTANO,8,334,1,38,0,4,,,99,0,RESIDENCE
231,RESIDENCEMIGNONCASE TRE,VIA MELLONI MACEDONIO,17,3085,4,16,,3,,,26,,RESIDENCE
283,RESIDENZA CHIARALBA,VIA POMPONAZZI PIETRO,3,5246,5,7,7,3,,,14,14,RESIDENCE
214,RESIDENZA DELLE CITTA,VIA MACCHI MAURO,79,2133,2,31,31,4,,,93,93,RESIDENCE
229,RIO,VIA MAZZINI GIUSEPPE,8,516,1,42,8;7;7;7;7;7,3,6,1;2;3;4;5;6,61,10;11;11;11;11;7,ALBERGO
179,ROYAL,VIA GOLDONI CARLO,84,3183,6,14,0,3,,,25,0,ALBERGO
299,SAN GIOVANNI,VIA REINA FRANCESCO,18,3255,4,11,11,1,,,20,20,ALBERGO
312,SARA,VIA SACCHINI ANTONIO GASPARE,17,2252,3,18,3;7;6,2,3,T;1;2,36,3;12;10,ALBERGO
420,SORRENTO,VLE ESPINASSE CARLO,22,7390,8,10,0;4;4,1,,;1;2,20,0;7;7,ALBERGO
348,SPADARI AL DUOMO,VIA SPADARI,11,518,1,40,7;7;6;6;5;5;4,4,7,1;2;3;4;5;6;7,99,15;15;14;14;11;9;7,ALBERGO
447,ST. GEORGE HOTEL,VLE TUNISIA,9,2121,3,50,3;6;9;9;9,4,,A;1;2;3;4,99,5;16;26;26;26,ALBERGO
419,STARHOTELS E.C.H.O.,VLE DORIA ANDREA,4,2230,2,143,,4,7,,299,,ALBERGO
57,STARHOTELS ANDERSON,PZA LUIGI DI SAVOIA,20,2260,2,106,13;14,4,,1;2;3;4;5;6;7;8,212,16;17,ALBERGO
163,STARHOTELS BUSINESS PALACE,VIA GAGGIA PIETRO,3,4187,4,259,,4,,,468,,ALBERGO
350,STARHOTELS RITZ,VIA SPALLANZANI LAZZARO,40,2153,3,207,24;29;9,4,8,1;2;3;4;5;6;7;8,386,44;54;18,ALBERGO
52,STARHOTELS ROSA GRAND,PZA FONTANA,3,308,1,327,45;43;45;41;6;1,4,,1;2;3;4;5;6,650,78;76;74;64;10;1,ALBERGO
444,STARHOTELS TOURIST,VLE TESTI FULVIO,300,1441,9,140,15;15;15;15;15;9,4,,R;1;2;3;4;5,250,29;29;29;29;29;9,ALBERGO
319,STRAF,VIA SAN RAFFAELE,3,207,1,64,0,4,,,118,0,ALBERGO
119,SUNSET CITY,VIA COLOMBO GIUSEPPE,14,3201,3,10,0,3,,,17,0,ALBERGO
360,TENCARESIDENCE,VIA TENCA CARLO,11,2118,2,27,0,3,,,92,0,RESIDENCE
320,THE GRAY,VIA SAN RAFFAELE,6,207,1,21,0,5,,,32,0,ALBERGO
282,THE HUB,VIA POLONIA,10,7505,8,162,162,4,,,306,306,ALBERGO
49,THE WESTIN PALACE,PZA DELLA REPUBBLICA,20,1055,2,228,6;28;29;26;24;13,I,,A;1;2;3;4;5;6;7;8;9,441,11;48;43;37;22;20,ALBERGO
