Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
PZA FONTANA N. 3 (z.d. 1);PZA;FONTANA;3;308;1;327;"45;43;45;41;6;1";4;starhotels rosa grand;;"1;2;3;4;5;6";650;"78;76;74;64;10;1";Albergo
PZA GERUSALEMME N. 12 (z.d. 8);PZA;GERUSALEMME;12;7201;8;15;0;4;town house 12;;;23;0;Albergo
PZA GERUSALEMME N. 6 (z.d. 8);PZA;GERUSALEMME;6;7201;8;119;"15;15;15;15;16;10";4;hotel mozart;;"1;2;3;4;5;6";208;"26;26;26;26;26;12";Albergo
PZA LEONARDO DA VINCI N. 10 (z.d. 3);PZA;LEONARDO DA VINCI;10;2208;3;13;0;1;leonardo da vinci;;;20;0;Albergo
"PZA LIMA N. 2 num.001 ; (z.d. 3)";PZA;LIMA;2;2135;3;198;;4;hotel galles;;;395;;Albergo
PZA LUIGI DI SAVOIA N. 20 (z.d. 2);PZA;LUIGI DI SAVOIA;20;2260;2;106;"13;14";4;starhotels anderson;;"1;2;3;4;5;6;7;8";212;"16;17";Albergo
PZA MISSORI GIUSEPPE N. 1 (z.d. 1);PZA;MISSORI GIUSEPPE;1;525;1;167;;4;hotel dei cavalieri;9;;305;;Albergo
PZA OBERDAN GUGLIELMO N. 12 (z.d. 3);PZA;OBERDAN GUGLIELMO;12;2108;3;30;0;3;hotel mercure milano centro porta venezi;;;57;0;Albergo
PZA SANTA MARIA BELTRADE N. 4 (z.d. 1);PZA;SANTA MARIA BELTRADE;4;514;1;48;;3;hotel gritti;;;78;;Albergo
PZA SANTA MARIA DEL SUFFRAGIO N. 3 (z.d. 4);PZA;SANTA MARIA DEL SUFFRAGIO;3;3078;4;15;0;2;xxii marzo;;;25;0;Albergo
PZA SANT' EUSTORGIO N. 2 (z.d. 1);PZA;SANT' EUSTORGIO;2;5186;1;22;;3;;;;38;;Albergo
"VIA AIRAGHI GAETANO N. 125 num.000 ; (z.d. 7)";VIA;AIRAGHI GAETANO;125;6330;7;234;0;4;idea hotel milano san siro;;;432;0;Albergo
"VIA AJRAGHI CESARE N. 30 suap; (z.d. 8)";VIA;AJRAGHI CESARE;30;7276;8;17;0;2;residence 2gi;;;22;0;Residence
VIA ALBRICCI ALBERICO N. 4 (z.d. 1);VIA;ALBRICCI ALBERICO;4;337;1;73;"11;11;12;11;6;6;5;7;4";4;residence missori;9;"3;4;5;6;7;8;2;9;0";158;"24;24;24;22;14;16;12;14;8";Residence
VIA ANTONIO DA RECANATE N. 2 (z.d. 2);VIA;ANTONIO DA RECANATE;2;2215;2;10;;1;KLICK HOTEL;;;16;;Albergo
VIA AOSTA N. 2 (z.d. 8);VIA;AOSTA;2;7227;8;15;;1;hotel principe eugenio;;;24;;Albergo
VIA AOSTA N. 2 (z.d. 8);VIA;AOSTA;2;7227;8;15;;3;hotel bogart 2;;;25;;Albergo
VIA ARCHIMEDE N. 121 (z.d. 4);VIA;ARCHIMEDE;121;3086;4;7;"1;3;3";1;pensione lanterna;3;"T;1;2";16;"2;7;7";Albergo
VIA ARCHIMEDE N. 79 (z.d. 4);VIA;ARCHIMEDE;79;3086;4;14;14;2;HOTEL CASTELLETTO;;;22;22;Albergo
"VIA ARCHIMEDE num.086/88 ;";VIA;ARCHIMEDE;;3086;4;14;"6;8";2;hotel delizia;2;"R;1";25;"12;12";Albergo
VIA ARIMONDI GIUSEPPE N. 12 (z.d. 8);VIA;ARIMONDI GIUSEPPE;12;7179;8;71;"12;12;11;12;12";4;hotel regency;;"4;5;3;1;2";125;"18;18;18;18;18";Albergo
VIA ARIOSTO LODOVICO N. 22 (z.d. 1);VIA;ARIOSTO LODOVICO;22;6184;1;48;"1;14;14;12;12";3;hotel ariosto;5;"R;1;2;3;4";96;"1;21;21;19;18";Albergo
VIA ASTOLFO N. 5 (z.d. 3);VIA;ASTOLFO;5;2566;3;23;"4;5";3;hotel vienna;5;"1;2;3;4;5";35;"5;4";Albergo
VIA ASTOLFO N. 6 (z.d. 3);VIA;ASTOLFO;6;2566;3;21;"5;6;6;6";3;hotel lugano;4;"R;1;2;3";31;"8;9;9;9";Albergo
VIA BAMBAIA N. 4 (z.d. 2);VIA;BAMBAIA;4;2278;2;14;"9;6";2;loreto;;"1;2";25;"16;8";Albergo
VIA BARACCHINI FLAVIO N. 12 (z.d. 1);VIA;BARACCHINI FLAVIO;12;356;1;177;0;4;hotel brunelleschi;;;259;0;Albergo
VIA BARTOLOZZI FRANCESCO N. 9 (z.d. 4);VIA;BARTOLOZZI FRANCESCO;9;3267;4;7;7;1;hotel rossovino;;;12;12;Albergo
"VIA BASSI UGO num.001/a ; (z.d. 9)";VIA;BASSI UGO;;1143;9;134;"35;26;30;30;19";4;holiday inn milan garibaldi station;;"1;2;3;4;5";272;"60;48;53;50;26";Albergo
VIA BENEFATTORI DELL'OSPEDALE N. 24 (z.d. 9);VIA;BENEFATTORI DELL'OSPEDALE;24;1522;9;10;"3;4";1;albergo sicilia;;"1;2";19;"5;6";Albergo
"VIA BONNET NINO num.006/b ;";VIA;BONNET NINO;;1109;9;19;"2;4;4;4;2";2;residence bonnet;5;"1;2;5;6;7";45;"10;30;30;30;5";Residence
VIA BORGONUOVO N. 1 (z.d. 1);VIA;BORGONUOVO;1;139;1;16;"4;4;4;3";4;residence borgonuovo;4;"1;2;3;4";32;"7;7;7;8";Residence
VIA BORROMEI N. 4 (z.d. 1);VIA;BORROMEI;4;632;1;28;"16;10";3;vecchia milano;2;"1;2";43;"23;17";Albergo
"VIA BOSCOVICH RUGGERO N. 21 deleg. somministr. zheng ruile; (z.d. 2)";VIA;BOSCOVICH RUGGERO;21;2131;2;35;"5;10;10;10";3;hotel bolzano;4;"T;1;2;3";68;"7;16;16;18";Albergo
VIA BOSCOVICH RUGGERO N. 43 (z.d. 3);VIA;BOSCOVICH RUGGERO;43;2131;3;14;;3;hotel bagliori;;;19;;Albergo
VIA BOSCOVICH RUGGERO N. 59 (z.d. 3);VIA;BOSCOVICH RUGGERO;59;2131;3;51;51;3;hotel serena;;;108;108;Albergo
VIA BREMBO N. 27 (z.d. 5);VIA;BREMBO;27;4219;5;55;;2;;;;99;;Residence
"VIA BRESSANONE num.004/a ; ()";VIA;BRESSANONE;;7425;8;80;18;4;hotel arizona;;"1;2;3;4;5";120;24;Albergo
VIA BRIVIO CESARE N. 33 (z.d. 9);VIA;BRIVIO CESARE;33;1502;9;12;0;2;HOTEL BRIVIO;;;21;0;Albergo
VIA BROGLIO EMILIO N. 28 (z.d. 9);VIA;BROGLIO EMILIO;28;1246;9;7;;2;HOTEL BOVISA;;;9;;Albergo
VIA BROLETTO N. 46 (z.d. 1);VIA;BROLETTO;46;720;1;54;"13;10;10;10;8";3;hotel centro;5;"1;2;3;4;5";94;"24;18;18;18;10";Albergo
VIA BUONARROTI MICHELANGELO N. 13 (z.d. 7);VIA;BUONARROTI MICHELANGELO;13;6253;7;49;"5;10;9;5;5;5;5;5";4;hotel wagner;8;"1;2;3;4;5;6;7;8";93;"9;20;19;9;9;9;9;9";Albergo
VIA BUTTI ENRICO N. 9 (z.d. 9);VIA;BUTTI ENRICO;9;1292;9;110;0;4;hotel milton milano;;;308;0;Albergo
VIA CACCIANINO ANTONIO N. 10 (z.d. 3);VIA;CACCIANINO ANTONIO;10;2419;3;8;8;1;hotel ambra;;;18;18;Albergo
VIA CADIBONA N. 2 (z.d. 4);VIA;CADIBONA;2;3339;4;30;0;3;hotel molise2;;;42;0;Albergo
VIA CALVI PIETRO N. 32 (z.d. 4);VIA;CALVI PIETRO;32;3083;4;40;0;4;hotel vittoria;;;58;0;Albergo
VIA CANONICA LUIGI N. 38 (z.d. 1);VIA;CANONICA LUIGI;38;7121;1;45;"9;9;9;9;9";3;hotel europeo;5;"1;2;3;4;5";70;"21;21;21;21;21";Albergo
VIA CANONICA LUIGI N. 79 (z.d. 8);VIA;CANONICA LUIGI;79;7121;8;12;12;1;pensione aris;1;1;17;17;Albergo
VIA CAPPELLINI ALFREDO N. 18 (z.d. 2);VIA;CAPPELLINI ALFREDO;18;2130;2;81;"16;16;17;17;15";3;hotel delle nazioni;5;"1;2;3;4;5";163;"25;25;27;26;21";Albergo
VIA CARCANO FILIPPO N. 37 (z.d. 7);VIA;CARCANO FILIPPO;37;6389;7;12;;1;hotel   leonardo;;;22;;Albergo
VIA CARCANO FILIPPO N. 39 (z.d. 7);VIA;CARCANO FILIPPO;39;6389;7;11;11;1;hotel amendola fiera;;;23;23;Albergo
VIA CARCANO FILIPPO N. 47 (z.d. 7);VIA;CARCANO FILIPPO;47;6389;7;8;"4;4";1;gianni;2;"R;1";10;"5;5";Albergo
VIA CARDANO GEROLAMO N. 1 (z.d. 9);VIA;CARDANO GEROLAMO;1;1187;9;254;0;4;hotel four points sheraton milan centre;;;465;0;Albergo
VIA CASATI FELICE N. 18 (z.d. 3);VIA;CASATI FELICE;18;2122;3;99;"16;16;16";4;albergo felice casati;;"1;2;3";145;"22;22;22";Albergo
VIA CASELLA GIOVANNI BATTISTA N. 61 (z.d. 8);VIA;CASELLA GIOVANNI BATTISTA;61;7382;8;86;"10;10;10;10;10";4;hotel mirage;;"1;2;3;4;5";132;"16;16;16;16;16";Albergo
VIA CASTALDI PANFILO N. 16 (z.d. 3);VIA;CASTALDI PANFILO;16;2119;3;25;"0;0";3;hotel brianza;;";";36;"0;0";Albergo
VIA CASTALDI PANFILO N. 17 (z.d. 3);VIA;CASTALDI PANFILO;17;2119;3;15;15;2;hotel siena;1;1;25;25;Albergo
VIA CASTALDI PANFILO N. 26 (z.d. 3);VIA;CASTALDI PANFILO;26;2119;3;12;;1;hotel porta venezia;;;20;;Albergo
VIA CASTALDI PANFILO N. 7 (z.d. 2);VIA;CASTALDI PANFILO;7;2119;2;52;13;4;hotel baviera;4;"1;2;3;4";92;"19;18";
VIA CASTELFIDARDO N. 2 (z.d. 1);VIA;CASTELFIDARDO;2;1043;1;11;;2;antica locanda solferino;;;21;;Albergo
VIA CATALANI ALFREDO N. 69 (z.d. 3);VIA;CATALANI ALFREDO;69;2425;3;20;"3;4;4;4;4;1";1;albergo la pace;6;"1;2;3;4;5;6";33;"6;0;0;0;0;2";Albergo
VIA CATALANI ALFREDO N. 71 (z.d. 3);VIA;CATALANI ALFREDO;71;2425;3;20;"4;6;6;1";2;hotel catalani e madrid;4;"R;1;2;3";38;"8;13;13;1";Albergo
"VIA CERVA N. 16 residence cerva; (z.d. 1)";VIA;CERVA;16;314;1;7;;3;residence cerva;;;7;;Residence
VIA CESARI ANTONIO N. 19 (z.d. 9);VIA;CESARI ANTONIO;19;1603;9;89;"18;16;13;3";4;residence siloe;;"1;2;3;4;5;6;7";199;"37;27;29;9";Residence
VIA CESENA N. 20 (z.d. 8);VIA;CESENA;20;7226;8;35;;3;hotel corallo;;;48;;Albergo
