Nome,Tipologia,Numero stelle,Tipo via,Nome via,Civico,Codice via,Municipio,Camere tot,Piani totali,Posti letto tot
HOTEL DEI CAVALIERI,ALBERGO,4,PZA,MISSORI GIUSEPPE,1,525,1,167,9,305
HOTEL DEI FIORI,ALBERGO,3,VIA,RENZO E LUCIA,14,5412,5,53,3,108
HOTEL DEL CORSO,ALBERGO,4,VIA,PECCHIO GIUSEPPE,2,2240,3,26,5,45
HOTEL DEL SUD,ALBERGO,1,CSO,LODI,74,4068,4,27,3,46
HOTEL DELIZIA,ALBERGO,2,VIA,ARCHIMEDE,86,3086,4,14,2,25
HOTEL DELLE NAZIONI,ALBERGO,3,VIA,CAPPELLINI ALFREDO,18,2130,2,81,5,163
HOTEL DEMIDOFF,ALBERGO,3,VIA,PLINIO CAIO SECONDO,2,2144,3,43,5,65
HOTEL DEMO,ALBERGO,3,VIA,TONALE,14,1213,2,28,3,58
HOTEL DES ETRANGER S,ALBERGO,3,VIA,SIRTE,9,6116,6,94,6,159
HOTEL DI PORTA ROMANA,ALBERGO,3,VIA,PAPI LAZZARO,18,4071,4,36,5,67
HOTEL DIECI,ALBERGO,4,LGO,RIO DE JANEIRO,12,3174,3,29,5,41
HOTEL DOMENICHINO,ALBERGO,3,VIA,DOMENICHINO,41,6383,7,64,5,110
HOTEL DORE',ALBERGO,3,VIA,PAGANINI NICCOLO',7,2238,3,18,4,39
HOTEL DOVER,ALBERGO,2,VIA,SOTTOCORNO PASQUALE,8,3152,4,13,3,24
HOTEL DUE GIARDINI,ALBERGO,2,VIA,MARCELLO BENEDETTO,47,2128,3,10,3,21
HOTEL EDEN,ALBERGO,2,VIA,VITRUVIO,20,2134,3,17,2,32
HOTEL EDY,ALBERGO,1,VIA,DELLE FORZE ARMATE,8,6643,7,12,1,25
HOTEL EL DIABLO,ALBERGO,1,CSO,VENTIDUE MARZO,43,3074,4,9,3,15
HOTEL EMMY,ALBERGO,1,VIA,FRA' GALGARIO,4,6607,7,10,3,20
HOTEL ETRUSCO,ALBERGO,3,VIA,PORPORA NICOLA ANTONIO,56,2229,3,18,4,21
HOTEL EUROPEO,ALBERGO,3,VIA,CANONICA LUIGI,38,7121,1,45,5,70
