,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Stelle,Piani tot,Posti letto tot,Tipo struttura
84,FLORA,VIA TORRIANI NAPO,23,2126.0,2.0,50.0,3,6,83.0,ALBERGO
85,FLORIDA,VIA LEPETIT ROBERTO,33,2096.0,2.0,57.0,3,5,98.0,ALBERGO
86,FOUR SEASON HOTEL MILAN,VIA GESU',10,227.0,1.0,118.0,5,4,240.0,ALBERGO
87,GIANNI,VIA CARCANO FILIPPO,47,6389.0,7.0,8.0,1,2,10.0,ALBERGO
88,GIUSTI 6,VIA GIUSTI GIUSEPPE,6,7127.0,1.0,72.0,3,7,169.0,RESIDENCE
89,GONZAGA,VIA VITRUVIO,43,2134.0,2.0,28.0,3,,67.0,ALBERGO
90,GRAN DUCA DI YORK,VIA MONETA,1/a,570.0,1.0,33.0,3,,60.0,ALBERGO
91,GRAND HOTEL DUOMO,PZA DEL DUOMO,25,1.0,1.0,161.0,4,7,244.0,ALBERGO
92,GRAND HOTEL ET DE MILAN,VIA MANZONI ALESSANDRO,29,230.0,1.0,102.0,5 STELLE LUSSO,5,158.0,ALBERGO
93,GRAND HOTEL VERDI,VIA GIOIA MELCHIORRE,6,1108.0,9.0,99.0,4,,198.0,ALBERGO
94,GRAND VISCONTI PALACE,VLE ISONZO,14,4211.0,5.0,172.0,4,,388.0,ALBERGO
95,GREEN HOUSE,VLE FAMAGOSTA,50,5353.0,6.0,45.0,3,,92.0,ALBERGO
96,GREEN HOUSE RESIDENCE,VLE FAMAGOSTA,48,5353.0,6.0,54.0,4,3,97.0,RESIDENCE
97,HILTON MILAN,VIA GALVANI LUIGI,12,1179.0,2.0,320.0,4,8,469.0,ALBERGO
98,HOLIDAY INN MILAN GARIBALDI STATION,VIA BASSI UGO,1/a,1143.0,9.0,134.0,4,5,272.0,ALBERGO
99,HOTEL   LEONARDO,VIA CARCANO FILIPPO,37,6389.0,7.0,12.0,1,,22.0,ALBERGO
100,"HOTEL ""LA VIGNETTA""",VIA CUSTODI PIETRO,2,5199.0,5.0,31.0,1,,56.0,ALBERGO
101,HOTEL 2000,VIA VITRUVIO,28,2134.0,3.0,14.0,2,,25.0,ALBERGO
102,HOTEL AC MILANO,VIA TAZZOLI ENRICO,2,1118.0,9.0,160.0,4,,320.0,ALBERGO
103,HOTEL ACAPULCO,VLE LOMBARDIA,59,2400.0,3.0,11.0,1,,18.0,ALBERGO
104,HOTEL ACCADEMIA,VLE CERTOSA,68,7174.0,8.0,66.0,4,,130.0,ALBERGO
105,HOTEL ADA,VIA SAMMARTINI GIOVANNI BATTISTA,15,1202.0,2.0,18.0,2,1,25.0,ALBERGO
106,HOTEL ADELCHI LAMBRATE,VIA INGEGNOLI FRANCESCO,20,2559.0,3.0,16.0,1,,25.0,ALBERGO
107,HOTEL ADLER,VIA RICORDI GIOVANNI,10,2251.0,3.0,23.0,3,5,43.0,ALBERGO
108,HOTEL ADMIRAL,VIA DOMODOSSOLA,16,7152.0,8.0,60.0,4,6,102.0,ALBERGO
109,HOTEL AGAPE,VIA FLUMENDOSA,35,2522.0,2.0,43.0,3,5,75.0,ALBERGO
110,HOTEL ALADIN,VLE DEI MILLE,48,3115.0,3.0,10.0,1,,17.0,ALBERGO
